accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_Ffom,age,gender,country,membership,language,sales,returned,returned_amount,pay_method,data
2017-03-21 00:00:10.123,2093,TCP  ,81.144.243.234,459,Android App,,Female,US,Premium,English,0.0,Yes,1890.0,Debit Card,2017-03-21
2017-03-21 00:00:10.123,2076,TCP  ,81.145.230.237,1419,Android App,,Male,RU,Premium,English,107.52,No,0.0,Others,2017-03-21
2017-03-21 00:00:41.574,1680,TCP  ,81.149.168.150,44,Android App,,Unknown,US,Not Logged In,English,0.0,No,0.0,Cash,2017-03-21
2017-03-21 00:00:41.574,1960,TCP  ,81.149.173.410,92,Android App,,Unknown,CH,Not Logged In,English,0.0,No,0.0,Debit Card,2017-03-21
2017-03-21 00:00:42.618,2185,TCP  ,81.149.26.78,11967,Android App,,Unknown,AT,Not Logged In,English,0.0,No,0.0,Credit Card,2017-03-21
2017-03-21 00:00:42.618,4585,TCP  ,81.151.147.211,660,Android App,,Unknown,IE,Not Logged In,English,0.0,No,0.0,Cash,2017-03-21
2017-03-21 00:00:54.577,1913,TCP  ,81.152.81.107,46,Android App,,Female,CA,Premium,English,26.15,No,0.0,Cash,2017-03-21
2017-03-21 00:00:54.577,2700,TCP  ,81.154.9.256,40,Android App,,Female,CH,Premium,English,45.45,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:06.346,3694,TCP  ,81.170.148.175,92,Mozilla Firefox,,Female,CA,Premium,English,0.0,Yes,10.983,Credit Card,2017-03-21
2017-03-21 00:01:06.346,2346,TCP  ,81.17.137.162,80,Mozilla Firefox,,Female,GB,Premium,Russian,2100.0,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:49.302,4393,TCP  ,81.19.181.26,46,IOS App,,Female,CA,Premium,English,0.0,Yes,7.322,Credit Card,2017-03-21
2017-03-21 00:01:49.302,1514,TCP  ,81.191.179.125,40,IOS App,,Female,SE,Premium,English,203.3,No,0.0,Credit Card,2017-03-21
2017-03-21 00:02:02.026,4201,TCP  ,81.198.177.161,106,Microsoft Edge,,Female,CA,Premium,German,15.69,No,0.0,Debit Card,2017-03-21
2017-03-21 00:02:02.026,1518,TCP  ,81.198.209.223,240,Microsoft Edge,,Female,NO,Premium,English,15.69,No,0.0,Cash,2017-03-21
2017-03-21 00:02:07.028,4792,TCP  ,81.209.48.18,233,Microsoft Edge,,Male,US,Premium,English,900.24,No,0.0,Cash,2017-03-21
2017-03-21 00:02:07.028,4891,TCP  ,81.215.129.120,1386,Microsoft Edge,,Female,NO,Premium,Spanish,20.92,No,0.0,Debit Card,2017-03-21
2017-03-21 00:01:06.554,3651,TCP  ,81.23.24.138,329,Others,,Male,CH,Premium,Russian,121.98,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:06.554,3254,TCP  ,81.234.141.152,4509,Others,,Female,CH,Premium,Spanish,40.66,No,0.0,Cash,2017-03-21
2017-03-21 00:03:02.654,4113,TCP  ,81.237.197.185,389,Others,,Female,JP,Premium,English,143.36,No,0.0,Credit Card,2017-03-21
2017-03-21 00:03:02.654,4638,TCP  ,81.240.116.202,1616,Others,,Female,AT,Premium,English,60.6,No,0.0,Others,2017-03-21
2017-03-21 00:03:10.664,3174,TCP  ,81.240.218.182,46,Others,,Female,RU,Premium,English,600.16,No,0.0,Credit Card,2017-03-21
2017-03-21 00:03:10.664,3738,TCP  ,81.24.117.149,40,Others,,Female,JP,Premium,Russian,26.15,No,0.0,Cash,2017-03-21
2017-03-21 00:00:22.271,3706,TCP  ,81.241.174.79,2163,Others,,Female,CH,Premium,Dutch,900.24,No,0.0,Credit Card,2017-03-21
2017-03-21 00:00:22.271,4249,TCP  ,81.244.173.178,3185,Others,,Female,CA,Premium,English,2400.68,No,0.0,Debit Card,2017-03-21
2017-03-21 00:04:33.992,4406,TCP  ,81.249.96.70,46,Safari,,Male,CA,Premium,English,162.64,No,0.0,Credit Card,2017-03-21
2017-03-21 00:04:33.992,2143,TCP  ,81.25.53.59,40,Safari,,Male,US,Premium,Russian,0.0,Yes,1140.304,Cash,2017-03-21
2017-03-21 00:01:25.380,3902,TCP  ,81.254.26.241,2931,IOS App,,Female,US,Premium,French,600.16,No,0.0,Others,2017-03-21
2017-03-21 00:01:25.380,3793,TCP  ,81.30.180.138,3557,Microsoft Edge,,Female,AU,Premium,Russian,1500.4,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:40.215,1635,TCP  ,81.30.8.174,561,Microsoft Edge,,Female,US,Normal,English,11.73,No,0.0,Cash,2017-03-21
2017-03-21 00:01:40.215,3546,TCP  ,81.31.250.29,589,Microsoft Edge,,Female,DE,Normal,persian,1500.4,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:40.216,2844,TCP  ,81.34.173.160,1725,IOS App,,Male,CN,Normal,English,1500.4,No,0.0,Cash,2017-03-21
2017-03-21 00:01:40.216,1887,TCP  ,81.34.79.185,579,IOS App,,Female,IN,Normal,Spanish,26.15,No,0.0,Cash,2017-03-21
2017-03-21 00:01:40.244,3436,TCP  ,81.36.254.193,702,IOS App,,Female,US,Normal,Spanish,600.16,No,0.0,Debit Card,2017-03-21
2017-03-21 00:01:40.244,1999,TCP  ,81.40.43.106,586,IOS App,,Male,GB,Normal,Spanish,0.0,Yes,35.19,Credit Card,2017-03-21
2017-03-21 00:01:40.244,4757,TCP  ,81.4.127.178,556,IOS App,,Female,RU,Normal,English,71.68,No,0.0,Cash,2017-03-21
2017-03-21 00:01:40.244,3240,TCP  ,81.4.127.178,515,Chrome,,Male,IT,Normal,English,600.16,No,0.0,Cash,2017-03-21
2017-03-21 00:01:40.552,4862,TCP  ,81.4.127.178,702,Chrome,,Female,CH,Normal,English,1800.51,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:40.552,2418,TCP  ,81.4.127.178,586,Chrome,,Male,PR,Normal,English,10.46,No,0.0,Others,2017-03-21
2017-03-21 00:01:40.552,1910,TCP  ,81.4.151.89,556,Chrome,,Female,JP,Normal,English,0.0,Yes,10.605,Credit Card,2017-03-21
2017-03-21 00:01:40.552,4399,TCP  ,81.48.152.120,469,Chrome,,Male,US,Normal,French,0.0,Yes,225.06,Credit Card,2017-03-21
2017-03-21 00:01:40.597,3427,TCP  ,81.5.242.207,561,Chrome,,Female,CN,Normal,English,0.0,Yes,1140.304,Debit Card,2017-03-21
2017-03-21 00:01:40.597,3160,TCP  ,81.51.226.79,589,Chrome,,Male,IT,Normal,French,1500.4,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:40.606,2724,TCP  ,81.51.65.241,639,Chrome,,Female,CA,Normal,French,35.19,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:40.606,2792,TCP  ,81.57.50.194,614,Chrome,,Female,IT,Normal,English,0.0,Yes,56.8125,Credit Card,2017-03-21
2017-03-21 00:01:42.621,3613,TCP  ,81.64.12.245,639,Chrome,,Female,CA,Normal,French,46.92,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:42.621,2960,TCP  ,81.65.15.260,614,Others,,Male,NO,Normal,French,107.52,No,0.0,Cash,2017-03-21
2017-03-21 00:04:51.728,3375,TCP  ,81.7.17.59,1035,Others,,Female,US,Premium,English,2400.68,No,0.0,Cash,2017-03-21
2017-03-21 00:04:51.728,2410,TCP  ,81.82.232.168,3341,Others,,Male,IN,Premium,English,35.19,No,0.0,Cash,2017-03-21
2017-03-21 00:02:21.301,2086,TCP  ,81.83.12.231,1586,Others,,Female,IT,Premium,English,5.23,No,0.0,Credit Card,2017-03-21
2017-03-21 00:02:21.301,4002,TCP  ,81.83.156.129,2545,Others,,Female,RU,Premium,English,900.24,No,0.0,Cash,2017-03-21
2017-03-21 00:02:28.880,4764,TCP  ,81.95.178.261,2279,Others,,Male,GB,Premium,Spanish,15.15,No,0.0,Cash,2017-03-21
2017-03-21 00:02:28.880,1889,TCP  ,81.95.185.58,3265,Mozilla Firefox,,Female,JP,Premium,Russian,0.0,Yes,7.322,Credit Card,2017-03-21
2017-03-21 00:03:57.485,1524,TCP  ,81.96.67.45,977,Mozilla Firefox,,Male,CA,Premium,English,10.46,No,0.0,Others,2017-03-21
2017-03-21 00:03:57.485,1858,TCP  ,81.97.45.219,1634,Mozilla Firefox,,Female,US,Premium,English,143.36,No,0.0,Credit Card,2017-03-21
2017-03-21 00:06:02.503,2668,TCP  ,81.97.76.75,46,Mozilla Firefox,,Male,IN,Premium,English,107.52,No,0.0,Debit Card,2017-03-21
2017-03-21 00:06:02.503,4393,TCP  ,81.99.242.240,40,Mozilla Firefox,,Female,US,Premium,English,600.16,No,0.0,Others,2017-03-21
2017-03-21 00:06:11.986,2388,TCP  ,82.0.8.18,40,Mozilla Firefox,,Female,RU,Premium,English,143.36,No,0.0,Debit Card,2017-03-21
2017-03-21 00:06:11.986,2062,TCP  ,82.1.120.71,46,Android App,,Female,KR,Premium,English,40.66,No,0.0,Cash,2017-03-21
2017-03-21 00:06:47.842,3304,TCP  ,82.1.124.193,420,Android App,,Female,IT,Premium,English,121.98,No,0.0,Others,2017-03-21
2017-03-21 00:06:47.842,3766,TCP  ,82.102.14.132,1599,Android App,,Female,CH,Premium,English,1800.51,No,0.0,Credit Card,2017-03-21
2017-03-21 00:01:40.599,1823,TCP  ,82.102.14.132,132,Android App,,Male,AR,Normal,English,121.98,No,0.0,Cash,2017-03-21
2017-03-21 00:01:40.599,1997,TCP  ,82.109.66.187,190,Android App,,Female,IT,Normal,English,5.23,No,0.0,Debit Card,2017-03-21
2017-03-21 00:07:02.088,4657,TCP  ,82.109.66.190,46,Android App,,Female,GB,Premium,English,26.15,No,0.0,Others,2017-03-21
2017-03-21 00:07:02.088,2833,TCP  ,82.112.130.106,40,Android App,,Female,CH,Premium,English,0.0,Yes,1140.304,Cash,2017-03-21
2017-03-21 00:03:53.293,4410,TCP  ,82.112.140.153,2279,Android App,,Female,AU,Premium,English,0.0,Yes,31.815,Credit Card,2017-03-21
2017-03-21 00:03:53.293,1739,TCP  ,82.112.156.143,4333,Android App,,Female,RU,Premium,English,0.0,Yes,25.088,Cash,2017-03-21
2017-03-21 00:04:40.246,2862,TCP  ,82.112.194.234,702,Android App,,Female,US,Normal,italian,15.69,No,0.0,Cash,2017-03-21
2017-03-21 00:04:40.246,3518,TCP  ,82.113.121.81,586,Android App,,Male,DE,Normal,English,15.69,No,0.0,Others,2017-03-21
2017-03-21 00:04:40.246,3645,TCP  ,82.113.99.1764,556,Android App,,Female,US,Normal,German,5250.0,No,0.0,Others,2017-03-21
2017-03-21 00:04:40.246,1646,TCP  ,82.113.99.1901,515,Android App,,Male,FI,Normal,English,0.0,Yes,15.69,Credit Card,2017-03-21
2017-03-21 00:04:40.554,4081,TCP  ,82.114.168.165,702,Android App,,Male,IT,Normal,Arabic,75.75,No,0.0,Cash,2017-03-21
2017-03-21 00:04:40.554,2846,TCP  ,82.117.179.45,586,Android App,,Female,JP,Normal,Russian,60.6,No,0.0,Debit Card,2017-03-21
2017-03-21 00:04:40.554,4488,TCP  ,82.117.226.80,556,Android App,,Female,US,Normal,Russian,26.15,No,0.0,Cash,2017-03-21
2017-03-21 00:04:40.554,3083,TCP  ,82.117.251.46,515,Android App,,Male,US,Normal,Russian,0.0,Yes,24.633,Cash,2017-03-21
2017-03-21 00:07:43.135,1912,TCP  ,82.120.204.24,40,Android App,,Male,CN,Premium,French,600.16,No,0.0,Debit Card,2017-03-21
2017-03-21 00:07:43.135,3681,TCP  ,82.12.157.248,46,Android App,,Female,PE,Premium,English,203.3,No,0.0,Cash,2017-03-21
2017-03-21 00:04:37.888,2793,TCP  ,82.125.231.151,2227,Android App,,Female,IN,Premium,English,203.3,No,0.0,Credit Card,2017-03-21
2017-03-21 00:04:37.888,1841,TCP  ,82.127.2.223,3278,Android App,,Female,AR,Premium,English,81.32,No,0.0,Cash,2017-03-21
2017-03-21 00:05:42.979,3732,TCP  ,82.13.157.71,2163,Android App,,Female,IT,Premium,English,0.0,Yes,1620.459,Cash,2017-03-21
2017-03-21 00:05:42.979,2773,TCP  ,82.13.216.89,3145,Chrome,,Female,PL,Premium,English,45.45,No,0.0,Others,2017-03-21
2017-03-21 00:06:16.064,4730,UDP  ,82.131.81.245,377,Mozilla Firefox,,Male,IT,Premium,Spanish,71.68,No,0.0,Others,2017-03-21
2017-03-21 00:06:16.064,4272,UDP  ,82.131.88.215,328,Mozilla Firefox,,Female,JP,Premium,Spanish,10.46,No,0.0,Cash,2017-03-21
2017-03-21 00:09:30.731,1844,TCP  ,82.132.184.179,40,Mozilla Firefox,,Female,AU,Premium,English,600.16,No,0.0,Others,2017-03-21
2017-03-21 00:09:30.731,3917,TCP  ,82.132.186.70,46,Mozilla Firefox,,Male,AU,Premium,English,15.69,No,0.0,Debit Card,2017-03-21
2017-03-21 00:06:40.214,1867,TCP  ,82.132.187.257,561,Mozilla Firefox,,Female,US,Normal,English,30.3,No,0.0,Cash,2017-03-21
2017-03-21 00:06:40.214,3995,TCP  ,82.132.212.104,589,Mozilla Firefox,,Male,KR,Normal,English,2400.68,No,0.0,Cash,2017-03-21
2017-03-21 00:06:40.216,4223,TCP  ,82.132.215.1629,1725,Mozilla Firefox,,Male,RU,Normal,English,2400.68,No,0.0,Credit Card,2017-03-21
2017-03-21 00:06:40.216,2067,TCP  ,82.132.215.1756,579,Mozilla Firefox,,Male,IT,Normal,English,10.46,No,0.0,Cash,2017-03-21
2017-03-21 00:06:40.599,4750,TCP  ,82.132.217.19,561,Mozilla Firefox,,Male,JP,Normal,English,40.66,No,0.0,Credit Card,2017-03-21
2017-03-21 00:06:40.599,2670,TCP  ,82.132.219.105,589,Mozilla Firefox,,Male,IN,Normal,English,40.66,No,0.0,Cash,2017-03-21
2017-03-21 00:05:45.089,3432,TCP  ,82.132.220.2232,361,Android App,,Male,CA,Premium,English,900.24,No,0.0,Credit Card,2017-03-21
2017-03-21 00:05:45.089,3428,TCP  ,82.132.220.2408,5625,Chrome,,Female,IT,Premium,English,179.2,No,0.0,Cash,2017-03-21
2017-03-21 00:10:08.918,1506,TCP  ,82.132.221.190,40,Chrome,,Male,DE,Premium,English,600.16,No,0.0,Cash,2017-03-21
