data,quantidade_erros
2017-03-15,2546
2017-03-15,2546
2017-03-15,2546
2017-03-16,4710
2017-03-16,4710
2017-03-17,797
2017-03-17,797
2017-03-18,6686
2017-03-18,6686
2017-03-19,15388
2017-03-19,15388
2017-03-20,31440
2017-03-20,31440
2017-03-21,26557
2017-03-15,2546
2017-03-15,2546
2017-03-15,2546
2017-03-15,2546
2017-03-16,4710
2017-03-16,4710
2017-03-17,797
2017-03-17,797
2017-03-18,6686
2017-03-18,6686
2017-03-19,15388
2017-03-19,15388
2017-03-20,31440
2017-03-20,31440
2017-03-21,26557
2017-03-21,26557
