data,var,media,contagem,maximo,minimo,mediana,desvio_padrao,variancia,moda
2017-03-14,duration_(secs),3168.38,16.0,4716.0,1525.0,3130.5,982.93,966153.32,1525.0
2017-03-14,age,42.12,16.0,69.0,20.0,34.0,18.77,352.25,28.0
2017-03-15,duration_(secs),3250.7,20508.0,5000.0,1500.0,3242.0,1012.42,1024984.99,4650.0
2017-03-15,age,43.54,17962.0,69.0,18.0,43.0,15.0,225.03,37.0
2017-03-16,duration_(secs),3248.11,24595.0,5000.0,1500.0,3245.0,1010.92,1021962.0,3488.0
2017-03-16,age,43.45,19885.0,69.0,18.0,43.0,14.98,224.25,43.0
2017-03-17,duration_(secs),3258.73,20572.0,5000.0,1500.0,3267.5,1008.56,1017190.53,2894.0
2017-03-17,age,43.29,19775.0,69.0,18.0,43.0,15.0,224.89,37.0
2017-03-18,duration_(secs),3250.02,31590.0,5000.0,1500.0,3248.0,1013.78,1027744.09,1947.0
2017-03-18,age,43.46,24904.0,69.0,18.0,43.0,14.94,223.29,40.0
2017-03-19,duration_(secs),3251.05,17560.0,5000.0,1500.0,3245.0,1018.96,1038270.71,2245.0
2017-03-19,age,43.62,2172.0,69.0,18.0,44.0,15.11,228.36,61.0
2017-03-20,duration_(secs),3241.96,31440.0,5000.0,1500.0,3238.5,1006.19,1012414.14,2680.0
2017-03-21,duration_(secs),3257.62,176.0,4950.0,1506.0,3353.0,1034.21,1069600.53,4393.0
2017-03-21,returned_amount,61.36,176.0,1890.0,0.0,0.0,280.5,78679.77,0.0
2017-03-21,duration_(secs),3260.74,174.0,4950.0,1506.0,3353.0,1035.82,1072926.48,4393.0
2017-03-21,returned_amount,62.06,174.0,1890.0,0.0,0.0,282.04,79545.34,0.0
